代號,名稱,實收資本額(元)
2324,仁寶,44071466250.00 
2382,廣達,38626274320.00 
2356,英業達,35874750660.00 
2353,宏碁,30478538280.00 
3231,緯創,28967670500.00 
4938,和碩,26637766030.00 
2301,光寶科,23472499630.00 
2352,佳世達,19667819580.00 
3706,神達,12065567890.00 
2395,研華,8634321950.00 
2377,微星,8448561990.00 
2357,華碩,7427602800.00 
2376,技嘉,6698888860.00 
2362,藍天,6322630000.00 
3005,神基,6152014000.00 
2331,精英,5574029680.00 
3017,奇鋐,3875535570.00 
2405,輔信,3434273030.00 
8076,伍豐,3014525920.00 
8163,達方,2800000010.00 
6188,廣明,2783589100.00 
2495,普安,2735515380.00 
3712,永崴投控,2462421460.00 
3701,大眾控,2365266120.00 
2365,昆盈,2215284960.00 
6166,凌華,2174972570.00 
2380,虹光,2169340840.00 
8050,廣積,2060724020.00 
2305,全友,2056608270.00 
3013,晟銘電,2051389300.00 
6235,華孚,1998045160.00 
2387,精元,1952510510.00 
6669,緯穎,1858407910.00 
6121,新普,1849705190.00 
2399,映泰,1781000000.00 
3022,威強電,1765977900.00 
6579,研揚,1693692210.00 
2417,圓剛,1576188640.00 
3211,順達,1522150210.00 
5465,富驊,1476826290.00 
3494,誠研,1440000000.00 
5426,振發,1438000000.00 
6206,飛捷,1430623240.00 
8234,新漢,1412264720.00 
3060,銘異,1375631900.00 
6414,樺漢,1373946170.00 
6128,上福,1275887400.00 
3515,華擎,1239342290.00 
1569,濱川,1214474410.00 
8210,勤誠,1209891640.00 
6277,宏正,1194711660.00 
2397,友通,1144888570.00 
3625,西勝,1141313820.00 
5438,東友,1125365650.00 
5258,虹堡,1100474340.00 
3071,協禧,1100000000.00 
8114,振樺電,1074259190.00 
5356,協益,1030400000.00 
3088,艾訊,1023134600.00 
3002,歐格,1020000000.00 
3709,鑫聯大投控,1005694500.00 
4916,事欣科,983789050.00 
2425,承啟,964988310.00 
5490,同亨,961522010.00 
3594,磐儀,956973580.00 
3057,喬鼎,926786680.00 
5289,宜鼎,913240950.00 
6117,迎廣,905833210.00 
3325,旭品,901686100.00 
3323,加百裕,883059140.00 
6230,尼得科超眾,863433960.00 
3483,力致,861297890.00 
6928,攸泰科技,860000000.00 
2465,麗臺,839460310.00 
3416,融程電,797465020.00 
3046,建碁,784480130.00 
3521,鴻翊,782655520.00 
3652,精聯,750975000.00 
3540,曜越,730665480.00 
3479,安勤,726301640.00 
6160,欣技,684891200.00 
4931,新盛力,657357610.00 
5215,科嘉-KY,643375000.00 
3577,泓格,639656530.00 
3272,東碩,611767890.00 
6577,勁豐,600601450.00 
3213,茂訊,586855470.00 
6161,捷波,562374770.00 
9912,偉聯,546565690.00 
6441,廣錠,533184290.00 
6150,撼訊,483459850.00 
3611,鼎翰,473536340.00 
5223,安力-KY,445497810.00 
3287,廣寰科,439704830.00 
3693,營邦,429906940.00 
6933,AMAX-KY,418335630.00 
5474,聰泰,403559440.00 
2364,倫飛,403000220.00 
3349,寶德,400716480.00 
6591,動力-KY,376656660.00 
4924,欣厚-KY,371644090.00 
6570,維田,371191700.00 
8410,森田,365892000.00 
4987,科誠,318780000.00 
5386,青雲,312112990.00 
6228,全譜,260000000.00 
6922,宸曜,256171280.00 
6680,鑫創電子,232301740.00 
6276,安鈦克,220430000.00 
